4.032855305823416003e+00,5.822219640049635103e+00,6.556311492398705809e+00,7.109021300068269156e+00,9.077747542747671261e+00,1.093377792660285941e+01,1.969758048774211545e+01,2.708808832724212223e+01,3.024600416561497696e+01,3.248808625017876039e+01,2.955183994344687193e+01,2.522997872096070893e+01
4.028782369685307785e+00,4.319327833917729009e+00,4.688431990602865085e+00,5.400083311136373965e+00,6.282093250106263405e+00,9.225367237107857221e+00,1.613321579506094139e+01,2.434800080937491629e+01,3.156003530410108482e+01,3.407071250745732982e+01,3.153285529326781500e+01,2.838728464938585105e+01
3.961039327338208071e+00,3.688818492744454947e+00,3.889986983755491234e+00,4.504580125886312736e+00,7.087320745364104724e+00,1.061847547316112461e+01,1.492305825573399858e+01,2.529439793637352096e+01,3.137940638667610571e+01,3.064229550824188308e+01,3.121672730776043281e+01,2.707812920596354545e+01
3.952542595842984507e+00,4.493840757590912283e+00,4.816145840216348617e+00,5.931321437645766359e+00,7.024902490598214477e+00,1.067754468357100173e+01,2.480507252163856080e+01,2.681765136773124780e+01,2.744429017715392405e+01,3.351120323355367958e+01,2.938707098547579832e+01,2.386924065034249054e+01
3.973824737384474393e+00,4.874757265102922510e+00,5.093587763044816086e+00,6.297129443077841060e+00,8.241844411641237045e+00,1.009116661401168535e+01,1.457350867697220842e+01,2.726581994565935929e+01,3.079073859397244917e+01,3.180917956387856904e+01,2.990964735912891470e+01,2.441123752812121950e+01
3.992811487746819044e+00,3.563318408648839863e+00,3.668512033468713351e+00,4.392934486870082367e+00,7.431617975991883007e+00,1.126796660490694180e+01,1.835868767626138975e+01,2.875055328661224507e+01,3.182016637789012492e+01,3.425413826883156077e+01,2.934991567388737721e+01,2.415084179202585446e+01
3.989421583953487005e+00,3.805490015643588020e+00,3.874119421291183585e+00,4.003237167428437715e+00,4.750306087952079537e+00,7.404508343752799426e+00,1.437068857606662853e+01,2.725107047237392877e+01,3.137357042548213215e+01,3.341771939589114027e+01,3.268717111428268396e+01,2.929183167319009584e+01
4.001345045934385780e+00,3.710709531324494215e+00,3.988341685519922741e+00,3.949833834955214673e+00,5.082127784652101354e+00,9.279712220878193918e+00,1.496395023548635095e+01,2.709931281573049588e+01,3.016325932281814914e+01,3.358858330174435736e+01,3.238669475519053265e+01,2.729328399104827341e+01
3.965802060064967716e+00,3.864005540095801106e+00,4.005619774161262470e+00,4.118719148347055103e+00,4.396781368769404175e+00,8.404730911405010829e+00,1.422043756978529849e+01,2.685676443808484137e+01,3.075756040950575354e+01,3.258219665882997162e+01,2.981200037210470200e+01,2.935491549903852615e+01
3.957774724208237060e+00,3.722744629689350937e+00,3.897176097545163032e+00,4.612294562014951360e+00,6.858891528227324841e+00,9.431321042046009850e+00,1.640914609699755289e+01,2.782579375944109046e+01,3.097452738196853161e+01,3.077601483176722752e+01,2.917641007405178399e+01,2.413596382653141248e+01
