1.094488017902535359e+00,5.065287765876550496e-01,2.212614335064201354e-01,8.332065961283594002e-02,3.404523431898668490e-02,1.344862797922958229e-02,6.061659460751297850e-03,3.889021661198861606e-03
1.350003264346804288e+00,6.562425192052403489e-01,2.645861896367870392e-01,1.158843115492589892e-01,5.275184435594437726e-02,1.825857979151705029e-02,7.486235337642270851e-03,4.374224717634001176e-03
1.132703799014262769e+00,6.399005539320451463e-01,2.615039036943341832e-01,1.155842456492345294e-01,4.309329611375234403e-02,1.967113010860557440e-02,7.654730230732324087e-03,4.361669647140925359e-03
1.232123427775601687e+00,6.209687948818383152e-01,2.450276363319841555e-01,9.394176785481132830e-02,4.138921530225878054e-02,1.901901901901902059e-02,7.551029290159725141e-03,4.243373808591200010e-03
1.236066699572933913e+00,5.608515569671866929e-01,2.556173144193832347e-01,1.119814580337789994e-01,4.618323068008670096e-02,1.991544520033478385e-02,7.704358649698478737e-03,4.785715818614932199e-03
1.150554502472928453e+00,5.792535459833976219e-01,2.379676231561975719e-01,9.876462513889797123e-02,4.096128287251889905e-02,2.072030851689652883e-02,8.693378652199490464e-03,4.902281194849336839e-03
1.280735383811100414e+00,5.821861113531410226e-01,2.325084952513723213e-01,1.014202317678835896e-01,4.478522261915134778e-02,1.823211640672649583e-02,7.210072318550143390e-03,4.225842990328482901e-03
1.234232663557512044e+00,6.204070958462276630e-01,2.544131107527350388e-01,1.102296996905374193e-01,4.689883624634964832e-02,2.018044719522294264e-02,7.518633134289325580e-03,4.576559299132632735e-03
1.071841830520271488e+00,4.987602227248999487e-01,2.067165477640507953e-01,1.014224812945884874e-01,4.698103358273882091e-02,2.040194884287454408e-02,8.112928484426656928e-03,4.698103358273882264e-03
1.347295630725863225e+00,6.242512332628611382e-01,2.489429175475686984e-01,1.103109584214235356e-01,4.056553911205074137e-02,1.682522903453136098e-02,8.016208597603945857e-03,4.206307258632840246e-03
