9.375068896628107495e+01,9.652047937595817473e+01,9.312323877952937323e+01,9.750940347905347494e+01,9.726856403480297786e+01,9.747665836832032937e+01,9.756010696537215665e+01,9.762607946949894711e+01,9.764548614069352084e+01,9.764128111695158907e+01,9.751559977006286317e+01
9.374921680175259553e+01,9.647185421683740003e+01,9.614293245466585347e+01,9.742647784941561895e+01,9.767503043666587814e+01,9.776201334756979122e+01,9.769847680752796748e+01,9.774789962495610496e+01,9.778516615834909942e+01,9.770261873419121912e+01,9.753034508851143869e+01
9.374978610162568771e+01,9.632872844238853816e+01,9.425474019833889372e+01,9.706593604851434520e+01,9.718156716671184370e+01,9.739200777236403894e+01,9.757382656615159533e+01,9.757811800141602987e+01,9.755986949549017595e+01,9.751482790166991776e+01,9.732015773070362741e+01
9.374996819489503252e+01,9.652306826321830613e+01,9.445036424419413379e+01,9.740186830098505766e+01,9.737177293606860928e+01,9.781836869994963024e+01,9.782794006089724803e+01,9.783727178443109551e+01,9.780442899270511248e+01,9.776936156884329421e+01,9.762061674509493514e+01
9.374948780702800377e+01,9.637890226154452478e+01,9.484771791432113730e+01,9.703618817454342604e+01,9.750651472062249070e+01,9.752339852876384896e+01,9.757913008827306101e+01,9.766855023825743842e+01,9.761178811543477707e+01,9.755584986448231177e+01,9.734250656300427806e+01
9.375016555803694018e+01,9.615810313650031560e+01,9.646206958603075066e+01,9.742760862466374761e+01,9.768032588068599864e+01,9.753184162547418623e+01,9.768937824325827535e+01,9.776201580854740314e+01,9.775986592117099860e+01,9.766559135463852215e+01,9.757471383294704026e+01
9.375046877365082310e+01,9.590310366532010278e+01,9.443855177618418395e+01,9.748628978287474922e+01,9.737963909562930098e+01,9.757697221716348679e+01,9.758701107552165865e+01,9.754559263971536609e+01,9.758662579240937873e+01,9.749478784294086608e+01,9.728657556938009066e+01
9.374948780702800377e+01,9.671926697138988516e+01,9.671309516712042864e+01,9.754779123557848663e+01,9.778809569392201695e+01,9.788050424377712488e+01,9.783229037595356203e+01,9.781953494278346284e+01,9.783753123394870954e+01,9.777085604703854926e+01,9.762267286304387426e+01
9.374996819489503252e+01,9.639874130097823013e+01,9.334668825702188144e+01,9.751668378380500712e+01,9.767673208063878576e+01,9.768397640981247321e+01,9.757189889296596164e+01,9.775295191554749863e+01,9.771735123444031501e+01,9.767620728249394801e+01,9.749790925539083730e+01
9.374978610162568771e+01,9.716892893660570962e+01,9.597803060733193092e+01,9.744724759100284928e+01,9.764101230430043188e+01,9.757643208041932326e+01,9.777519322822824677e+01,9.783909661276288716e+01,9.777226148207029155e+01,9.766855713910263148e+01,9.759844332782633103e+01
